iter	RMSE
0	8.562875153
1	8.350253768
2	8.099433304
3	7.876722084
4	7.680347151
5	7.489723259
6	7.287247296
7	7.129221619
8	6.937743959
9	6.768019982
10	6.635447514
11	6.468668807
12	6.323173101
13	6.143449769
14	6.003373262
15	5.861232181
16	5.724669542
17	5.591391162
18	5.457729768
19	5.311553701
20	5.180971461
21	5.06887744
22	4.933187485
23	4.821879335
24	4.723167275
25	4.599574325
26	4.482281337
27	4.388896404
28	4.305812867
29	4.192727912
30	4.115032291
31	4.026253985
32	3.947220206
33	3.868120707
34	3.779064119
35	3.718828203
36	3.637957949
37	3.597751282
38	3.537460964
39	3.467556747
40	3.398222674
41	3.339918504
42	3.295446898
43	3.267075204
44	3.212580427
45	3.167321329
46	3.102859523
47	3.046326475
48	2.980816168
49	2.928385843
50	2.870818484
51	2.815175715
52	2.767904135
53	2.708776225
54	2.66000582
55	2.60807978
56	2.559767545
57	2.525260701
58	2.473800849
59	2.430450131
60	2.403763088
61	2.38430439
62	2.348366156
63	2.304117603
64	2.28230702
65	2.260838856
66	2.208825648
67	2.180573222
68	2.158512265
69	2.113952028
70	2.07482692
71	2.040021847
72	2.014375552
73	1.996951252
74	1.975013317
75	1.951595469
76	1.932347131
77	1.90337866
78	1.887195287
79	1.860184437
80	1.838392188
81	1.807527314
82	1.789007106
83	1.771340191
84	1.739047583
85	1.701083246
86	1.681625772
87	1.652101025
88	1.634203867
89	1.616956727
90	1.587094231
91	1.573859553
92	1.555701898
93	1.542175612
94	1.507616697
95	1.478141932
96	1.445671487
97	1.416887749
98	1.402997247
99	1.388761118
100	1.374375548
101	1.362800014
102	1.333833962
103	1.322634496
104	1.31267232
105	1.3012888
106	1.276804708
107	1.2660451
108	1.253176088
109	1.24088402
110	1.229233294
111	1.218541214
112	1.199460988
113	1.187573327
114	1.175479812
115	1.163026952
116	1.152340503
117	1.130235603
118	1.119799479
119	1.109356757
120	1.099077321
121	1.090095855
122	1.079993018
123	1.060034164
124	1.04018669
125	1.016873029
126	1.007722589
127	0.9983473411
128	0.9904252872
129	0.9817174672
130	0.9632513542
131	0.955578148
132	0.9478108459
133	0.9409468121
134	0.9320364541
135	0.9252011413
136	0.9082109731
137	0.9002719113
138	0.8937863948
139	0.8863493318
140	0.8798900425
141	0.8613004034
142	0.85429093
143	0.847897948
144	0.8299904625
145	0.8233148694
