iter	RMSE
146	0.8165766194
147	0.8103671803
148	0.7928656832
149	0.7870903978
150	0.7814261983
151	0.7757976339
152	0.7593041841
153	0.7535312927
154	0.7472314769
155	0.7424742122
156	0.7377160015
157	0.7328723678
158	0.7177197646
159	0.7130085582
160	0.7071844235
161	0.7020665274
162	0.6969207925
163	0.692558809
164	0.6876069231
165	0.6833335139
166	0.671689722
167	0.6676450267
168	0.6632972156
169	0.6589093559
170	0.6545555569
171	0.6418822115
172	0.6376546487
173	0.6339924438
174	0.629981309
175	0.6181178066
176	0.6147414536
177	0.610889847
178	0.6069567051
179	0.5965735575
180	0.5933105178
181	0.5820610582
182	0.5789014582
183	0.5757992613
184	0.5727751455
185	0.5622700269
186	0.5589919418
187	0.5494754859
188	0.5466043493
189	0.54380519
190	0.5347237812
191	0.531737309
192	0.529077012
193	0.5264705577
194	0.5235484266
195	0.5199715964
196	0.5108690961
197	0.508441968
198	0.5057102787
199	0.5031088926
200	0.4950341659
201	0.4927775205
202	0.4854132747
203	0.4829836477
204	0.4750868104
205	0.472937089
206	0.4662229498
207	0.4641452474
208	0.4621111902
209	0.4601590414
210	0.453022761
211	0.4463355676
212	0.4444313885
213	0.4426054463
214	0.4358015415
215	0.4340319525
216	0.4301955806
217	0.4285019463
218	0.4267919613
219	0.4249031044
220	0.417561622
221	0.4159364077
222	0.4100919349
223	0.4085449585
224	0.4070455038
225	0.4055509751
226	0.4001024438
227	0.3952627138
228	0.3938255504
229	0.3924196125
230	0.3910580929
231	0.3897458543
232	0.3884374909
233	0.3836869216
234	0.3791172086
235	0.3778985754
236	0.3766720352
237	0.3754858758
238	0.3742918078
239	0.3731742248
240	0.3696003169
241	0.3650454693
242	0.3639615263
243	0.3628727024
244	0.3581062871
245	0.3571033524
246	0.3524962973
247	0.3515012087
248	0.3504708062
249	0.3495189241
250	0.3451974868
251	0.3408876759
252	0.3399241489
253	0.3357784842
254	0.3349232306
255	0.3317959761
256	0.3308973922
257	0.330018843
258	0.3291596212
259	0.3283198668
260	0.3245334805
261	0.3237249274
262	0.3190564891
263	0.3154303872
264	0.3146579523
265	0.3139699193
266	0.3132296514
267	0.3125722005
268	0.3085402144
269	0.3078199754
270	0.3045140383
271	0.3038392613
272	0.3032022627
273	0.3000115785
274	0.2971191274
275	0.2943386577
276	0.293720517
277	0.2931164826
278	0.2901310536
279	0.2895728795
280	0.2870021958
281	0.2864404519
282	0.2838472657
283	0.2833600059
284	0.2799423824
285	0.2776482215
286	0.2755873133
287	0.2750819053
288	0.274587545
289	0.2741046663
290	0.2736577231
291	0.2714129571
292	0.2696299021
293	0.2691988071
294	0.267076276
295	0.2666463194
296	0.2641498353
297	0.2637584522
298	0.2633651543
299	0.2629676912
300	0.2626043277
301	0.2622479906
302	0.2593436684
303	0.2570546205
304	0.254797704
305	0.2533782626
306	0.253051238
307	0.2504665289
308	0.2487917608
309	0.2484616884
310	0.2461560744
311	0.2444710889
312	0.2441755504
313	0.2438871579
314	0.2436117506
315	0.2419326392
316	0.2401977574
317	0.2399386005
318	0.2378962207
319	0.2370422957
320	0.2349743278
321	0.2347243376
322	0.2344849171
323	0.2342465198
324	0.2320680365
325	0.2299885726
326	0.2285377113
327	0.2265869953
328	0.2263714381
329	0.2261568105
330	0.224299282
331	0.2226399833
332	0.2207554169
333	0.2195623561
334	0.2177957956
335	0.2161302683
336	0.2148047537
337	0.2133908599
338	0.2122937916
339	0.2110147539
340	0.2091496884
341	0.2075817609
342	0.206366387
343	0.2050037542
344	0.2038501223
345	0.2022985004
346	0.2011067453
347	0.1996467625
348	0.1985162966
349	0.1981061988
350	0.1971676772
351	0.1962631593
352	0.1947135809
353	0.1938617481
354	0.1928531328
355	0.1916926647
356	0.1906470832
357	0.1897936588
358	0.1890269309
359	0.1876457865
360	0.1865452033
361	0.1854987849
362	0.1844324009
363	0.183554936
364	0.1827672344
365	0.1822400675
366	0.1819460574
367	0.1805594113
368	0.1796642978
369	0.1788952799
370	0.1782607283
371	0.1771351843
372	0.1765288892
373	0.1753451608
374	0.1742662412
375	0.1738430544
376	0.172726762
377	0.1717944835
378	0.1710301113
379	0.1701924492
380	0.1692409509
381	0.1687557577
382	0.1682247559
383	0.167293733
384	0.1670560718
385	0.1662356533
386	0.1653276407
387	0.1648084728
388	0.163878548
389	0.1628690526
390	0.162148586
391	0.1610794839
392	0.1604374239
393	0.1597935785
394	0.1593124629
395	0.158849448
396	0.1584038543
397	0.1576054338
398	0.1569391159
399	0.1565152884
400	0.155604142
401	0.1547955785
402	0.1542244834
403	0.1536208556
404	0.1524927946
405	0.1514733338
406	0.1506287494
407	0.1496750861
408	0.148736599
409	0.1480079147
410	0.147350538
411	0.146792978
412	0.145918332
413	0.1453293054
414	0.1443120873
415	0.1435571268
416	0.1433276897
417	0.1423860555
418	0.141707791
419	0.1409930234
420	0.1404283932
421	0.1396691272
422	0.1392356059
423	0.1385774862
424	0.1377838048
425	0.1371314878
426	0.1364354212
427	0.1359409389
428	0.1353916675
429	0.1348919458
430	0.1339536655
431	0.1337761677
432	0.132749807
433	0.1317853321
434	0.1310368651
435	0.1303964831
436	0.1300191615
437	0.1291132217
438	0.128206545
439	0.1274288048
440	0.1267181678
441	0.1258813581
442	0.1253932049
443	0.1246201164
444	0.1239580208
445	0.1231501231
446	0.1225886727
447	0.1216824374
448	0.1210443776
449	0.1203014947
450	0.1194155244
451	0.1185861154
452	0.1178458166
453	0.1170387537
454	0.1162653701
455	0.1155624964
456	0.1148748235
457	0.114216208
458	0.1134096705
459	0.1130224492
460	0.1124686457
461	0.1118530844
462	0.1112525037
463	0.1107556776
464	0.1102582045
465	0.109745937
466	0.1092623679
467	0.1085400403
468	0.1079746436
469	0.1074889078
470	0.1070080972
471	0.1067014711
472	0.1063038039
473	0.1054826754
474	0.1051092689
475	0.10467816
476	0.104177837
477	0.1036844819
478	0.102985124
479	0.1021620685
480	0.1017016277
481	0.1012011197
482	0.1006670256
483	0.1002994906
484	0.09998439734
485	0.0995358881
486	0.098997448
487	0.09853041081
488	0.09814752986
489	0.09772165532
490	0.09716539033
491	0.09658578841
492	0.09587764764
493	0.09551322209
494	0.09513228904
495	0.09477679197
496	0.09442500304
497	0.09403877561
498	0.09363609985
499	0.09311275374
